State,Date,Total,Category
Pennsylvania,10/11/2019,"  200,157,093 ",Beverages
Rhode Island,10/11/2019,"  14,151,732 ",Beverages
South Carolina,10/11/2019,"  101,041,837 ",Beverages
South Dakota,10/11/2019,"  15,098,715 ",Beverages
Tennessee,10/11/2019,"  136,324,595 ",Beverages
Texas,10/11/2019,"  483,320,679 ",Beverages
Utah,10/11/2019,"  44,258,186 ",Beverages
Vermont,10/11/2019,"  9,914,387 ",Beverages
Virginia,10/11/2019,"  155,391,291 ",Beverages
Washington,10/11/2019,"  102,493,531 ",Beverages
West Virginia,10/11/2019,"  40,368,204 ",Beverages
Wisconsin,10/11/2019,"  84,657,735 ",Beverages
Wyoming,10/11/2019,"  12,021,378 ",Beverages
Alabama,1/3/2020,"  116,651,493 ",Beverages
Arizona,1/3/2020,"  118,349,206 ",Beverages
Arkansas,1/3/2020,"  61,187,920 ",Beverages
California,1/3/2020,"  488,089,630 ",Beverages
Colorado,1/3/2020,"  98,316,102 ",Beverages
Connecticut,1/3/2020,"  49,149,289 ",Beverages
Florida,1/3/2020,"  418,283,544 ",Beverages
Georgia,1/3/2020,"  210,589,115 ",Beverages
Illinois,1/3/2020,"  177,994,077 ",Beverages
Indiana,1/3/2020,"  122,128,860 ",Beverages
Iowa,1/3/2020,"  64,202,566 ",Beverages
Kansas,1/3/2020,"  49,739,279 ",Beverages
Kentucky,1/3/2020,"  96,896,523 ",Beverages
Louisiana,1/3/2020,"  100,284,982 ",Beverages
Maine,1/3/2020,"  25,700,047 ",Beverages
Maryland,1/3/2020,"  90,814,110 ",Beverages
Massachusetts,1/3/2020,"  100,072,373 ",Beverages
Michigan,1/3/2020,"  160,937,018 ",Beverages
Minnesota,1/3/2020,"  87,428,014 ",Beverages
Mississippi,1/3/2020,"  74,436,058 ",Beverages
Missouri,1/3/2020,"  106,212,849 ",Beverages
Nebraska,1/3/2020,"  34,374,962 ",Beverages
Nevada,1/3/2020,"  57,088,407 ",Beverages
New Hampshire,1/3/2020,"  29,922,102 ",Beverages
New Mexico,1/3/2020,"  38,713,023 ",Beverages
New York,1/3/2020,"  243,570,108 ",Beverages
North Carolina,1/3/2020,"  191,518,855 ",Beverages
Ohio,1/3/2020,"  207,137,431 ",Beverages
Oklahoma,1/3/2020,"  82,141,566 ",Beverages
Oregon,1/3/2020,"  64,230,390 ",Beverages
Pennsylvania,1/3/2020,"  200,422,700 ",Beverages
Rhode Island,1/3/2020,"  14,290,557 ",Beverages
South Carolina,1/3/2020,"  102,674,942 ",Beverages
South Dakota,1/3/2020,"  15,685,229 ",Beverages
Tennessee,1/3/2020,"  139,507,291 ",Beverages
Texas,1/3/2020,"  492,419,826 ",Beverages
Utah,1/3/2020,"  46,708,924 ",Beverages
Vermont,1/3/2020,"  10,321,603 ",Beverages
Virginia,1/3/2020,"  158,527,801 ",Beverages
Washington,1/3/2020,"  107,477,573 ",Beverages
West Virginia,1/3/2020,"  41,365,082 ",Beverages
Wisconsin,1/3/2020,"  87,040,926 ",Beverages
Wyoming,1/3/2020,"  12,575,446 ",Beverages
Alabama,1/11/2020,"  120,522,114 ",Beverages
Arizona,1/11/2020,"  123,994,824 ",Beverages
Arkansas,1/11/2020,"  61,173,665 ",Beverages
California,1/11/2020,"  517,917,263 ",Beverages
Colorado,1/11/2020,"  97,188,916 ",Beverages
Connecticut,1/11/2020,"  49,676,493 ",Beverages
Florida,1/11/2020,"  418,301,136 ",Beverages
Georgia,1/11/2020,"  222,344,499 ",Beverages
Illinois,1/11/2020,"  179,673,232 ",Beverages
Indiana,1/11/2020,"  126,201,511 ",Beverages
Iowa,1/11/2020,"  65,694,281 ",Beverages
Kansas,1/11/2020,"  49,731,547 ",Beverages
Kentucky,1/11/2020,"  97,721,872 ",Beverages
Louisiana,1/11/2020,"  104,994,962 ",Beverages
Maine,1/11/2020,"  26,208,036 ",Beverages
Maryland,1/11/2020,"  92,795,122 ",Beverages
Massachusetts,1/11/2020,"  101,437,846 ",Beverages
Michigan,1/11/2020,"  169,836,316 ",Beverages
Minnesota,1/11/2020,"  90,227,674 ",Beverages
Mississippi,1/11/2020,"  75,112,491 ",Beverages
Missouri,1/11/2020,"  108,363,219 ",Beverages
Nebraska,1/11/2020,"  34,888,718 ",Beverages
Nevada,1/11/2020,"  57,755,197 ",Beverages
New Hampshire,1/11/2020,"  31,051,552 ",Beverages
New Mexico,1/11/2020,"  39,125,374 ",Beverages
New York,1/11/2020,"  242,029,203 ",Beverages
North Carolina,1/11/2020,"  206,272,025 ",Beverages
Ohio,1/11/2020,"  212,163,692 ",Beverages
Oklahoma,1/11/2020,"  81,182,720 ",Beverages
Oregon,1/11/2020,"  65,902,983 ",Beverages
Pennsylvania,1/11/2020,"  205,040,628 ",Beverages
Rhode Island,1/11/2020,"  14,239,757 ",Beverages
